Review,Size,Comfort,Features,star_rating
32,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
31,"['UK-8', 'UK-10']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
30,"['UK-7', 'UK-8', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
36,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
30,"['UK-7', 'UK-8', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
36,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
91,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
47,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
0,"['UK-7', 'UK-8', 'UK-9', 'UK-11', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Omni-SHIELD water and stain resistant treatment. Suede textile and overlays for outdoor protection and a moder",0
