Brand,Name,Category,Colors,Price,Sizes,Count_Sizes,Color_Name,product_Code,Review,Rating,Features,Comfort
Puma,Slipstream Women's Sneakers,womens,1,"4,799","['3', '4', '5', '6', '7', '8']",6.0,PUMA White-Warm White,386270_13,NA,NA,,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper
Rubber midsole and outsole
Synthetic leather quarter panel and heel overlay
PUMA Formstrip on the medial and lateral sides
PUMA Cat Logo on the heel"
Puma,Mayze Crashed PRM Women's Sneakers,womens,2,"5,399","['3', '4', '5', '6', '7', '8']",6.0,Warm White,393070_03,NA,NA,"Leather quarter panel, vamp and underlays on the eyestay, Formstrip and heel cap
Synthetic back quarter panel and top tongue
Nubuck Formstrip, eyestay and heel cap
Woven PUMA label on top tongue
IMEVA and rubber midsole
IMEVA and rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com
Puma,Mayze Crashed PRM Women's Sneakers,womens,2,"5,399","['3', '4', '5', '6', '7', '8']",6.0,PUMA White,393070_04,NA,NA,"Leather quarter panel, vamp and underlays on the eyestay, Formstrip and heel cap
Synthetic back quarter panel and top tongue
Nubuck Formstrip, eyestay and heel cap
Woven PUMA label on top tongue
IMEVA and rubber midsole
IMEVA and rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com
Puma,Blktop Rider Femme Women's Sneakers,womens,2,"5,399","['3', '4', '5', '6', '7', '8']",6.0,Future Pink-Alpine Snow,393119_03,NA,NA,"Suede base with suede overlays
Suede vamp, eyestay, and heel cap
Micro perforation suede base
Shimmery suede details on Formstrip
EVA midsole
Rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
Puma,Blktop Rider Femme Women's Sneakers,womens,2,"5,399","['3', '4', '5', '6', '7', '8']",6.0,PUMA Black-Alpine Snow,393119_01,NA,NA,"Suede base with suede overlays
Suede vamp, eyestay, and heel cap
Micro perforation suede base
Shimmery suede details on Formstrip
EVA midsole
Rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
Puma,Muse X-2 Metallic V1 Women's Sneakers,womens,1,"4,199","['3', '4', '5', '6', '7', '8']",6.0,PUMA Black-PUMA Black-Copper Rose,397069_01,NA,NA,"Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Textile upper
Rubber outsole
PUMA Wordmark branding
Elastic strap overlays","IGNITE: PUMA’s unique PU Foam that provides responsiveness, maximum cushioning and energy return to propel you forward faster"
Puma,PUMA Cali Court Patent Women's Sneakers,womens,2,"4,499","['3', '4', '5', '6', '7', '8']",6.0,PUMA White,394755_02,NA,NA,"Synthetic and leather upper
Patent leather vamp and heel cap
Leather Formstrip, quarter panel, tongue and heel overlay
Synthetic quarter panel and eyestay
Perforated vamp and quarter panel details/
Debossed line on vamp
Debossed and tonal printed PUMA branding on tongue
Rubber midsole
Rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
Puma,PUMA Cali Court Patent Women's Sneakers,womens,2,"4,499","['3', '4', '5', '6', '7', '8']",6.0,PUMA Black-PUMA White,394755_01,NA,NA,"Synthetic and leather upper
Patent leather vamp and heel cap
Leather Formstrip, quarter panel, tongue and heel overlay
Synthetic quarter panel and eyestay
Perforated vamp and quarter panel details/
Debossed line on vamp
Debossed and tonal printed PUMA branding on tongue
Rubber midsole
Rubber outsole",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com
Puma,Cruise Rider V1 Women's Sneakers,womens,2,"4,499","['3', '4', '5', '6', '7', '8']",6.0,Warm White-Electric Blush-Racing Blue,395645_01,NA,NA,,"Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
EVA midsole
Rubber outsole
Synthetic upper
Textile vamp with synthetic overlays
PUMA Formstrip on lateral side
PUMA branding on quarter, heel and tongue label"
Puma,Cruise Rider V1 Women's Sneakers,womens,2,"4,499","['3', '4', '5', '6', '7', '8']",6.0,Electric Blush-PUMA White-Minty Burst,395645_02,NA,NA,,"Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
EVA midsole
Rubber outsole
Synthetic upper
Textile vamp with synthetic overlays
PUMA Formstrip on lateral side
PUMA branding on quarter, heel and tongue label"
