Review,Size,Comfort,Features,star_rating
12,"['6', '7', '8', '10']",NA,NA,4.8
12,"['6', '7', '8', '9', '10']",NA,NA,4.8
12,"['7', '8', '9', '10']","Advance your strides in superior comfort wearing Skechers GO RUN MaxRoad 6™. This carbon-infused lace-up trainer features an engineered mesh and synthetic upper with a removable Skechers Arch Fit® insole, HYPER BURST ICE™ cushioning with HYPER ARC™, and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
HYPER BURST ICE™ features dual-density HYPER BURST® technology for a soft and stable run
HYPER ARC™ technology promotes efficiency in each stride
Carbon fiber infused plate to put more spring in your step
Goodyear® Performance Outsole delivers enhanced traction, stability, and durability
Road running performance lace-up with a breathable engineered mesh and synthetic haptic print upper
Machine washable
Skechers GO RUN® logo detail",4.9
NA,"['6', '7', '8', '9']","Get ready to move in lightweight supportive comfort with Skechers GO RUN Ride 11™. This carbon-infused lace-up trainer features a breathable engineered mesh and synthetic upper with a removable Skechers Arch Fit® insole, HYPER BURST ICE™ cushioning with HYPER ARC™, and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
HYPER BURST ICE™ features dual-density HYPER BURST® technology for a soft and stable run
HYPER ARC™ technology promotes efficiency in each stride
Carbon fiber infused plate to put more spring in your step",NA
12,"['6', '7', '8']","Advance your strides in superior comfort wearing Skechers GO RUN MaxRoad 6™. This carbon-infused lace-up trainer features an engineered mesh and synthetic upper with a removable Skechers Arch Fit® insole, HYPER BURST ICE™ cushioning with HYPER ARC™, and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
HYPER BURST ICE™ features dual-density HYPER BURST® technology for a soft and stable run
HYPER ARC™ technology promotes efficiency in each stride
Carbon fiber infused plate to put more spring in your step
Goodyear® Performance Outsole delivers enhanced traction, stability, and durability
Road running performance lace-up with a breathable engineered mesh and synthetic haptic print upper
Machine washable
Skechers GO RUN® logo detail",4.9
8,"['6', '7', '8', '9', '10']",NA,NA,4.6
8,"['6', '7', '8', '9']","Get ready to move in lightweight supportive comfort with Skechers GO RUN Ride 11™. This carbon-infused lace-up trainer features a breathable engineered mesh and synthetic upper with a removable Skechers Arch Fit® insole, HYPER BURST ICE™ cushioning with HYPER ARC™, and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
HYPER BURST ICE™ features dual-density HYPER BURST® technology for a soft and stable run
HYPER ARC™ technology promotes efficiency in each stride
Carbon fiber infused plate to put more spring in your step",4.9
964,"['5', '6', '7', '8', '9', '10']","TOUCHLESS FIT™ Step into effortless comfort with Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Brilliant Path. Designed with a unique Comfort Pillow™ in the heel. This style features a Stretch Fit® engineered knit upper with deco laces, plus a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Unique Comfort Pillow™ design in the heel adds pleasure with every step
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
964,"['6', '7']","TOUCHLESS FIT™ Step into effortless comfort with Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Brilliant Path. Designed with a unique Comfort Pillow™ in the heel. This style features a Stretch Fit® engineered knit upper with deco laces, plus a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Unique Comfort Pillow™ design in the heel adds pleasure with every step
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
964,"['5', '6', '7', '8', '9', '10']","TOUCHLESS FIT™ Step into effortless comfort with Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Brilliant Path. Designed with a unique Comfort Pillow™ in the heel. This style features a Stretch Fit® engineered knit upper with deco laces, plus a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Unique Comfort Pillow™ design in the heel adds pleasure with every step
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
