Name,Category,Colors,Price,Sizes,Count_Sizes,Color_Name,product_Code,Review,Rating,Features,Comfort,Brand
Air Force 1 '07,Men,2.0,7 495.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,White/White,CW2288-111,1311.0,,"LEGENDARY STYLE REFINED.

The radiance lives on in the Nike Air Force 1 '07, the basketball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.

Benefits
The stitched overlays on the upper add heritage style, durability and support.
Originally designed for performance hoops, the Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
The padded collar feels soft and comfortable.

Product Details
Foam midsole
Perforations on the toe
Rubber sole
Colour Shown: White/White
Style: CW2288-111
Country/Region of Origin: Vietnam,India

Air Force 1 Origins
Debuting in 1982, the AF-1 was the first basketball shoe to house Nike Air, revolutionising the game while rapidly gaining traction around the world. Today, the Air Force 1 stays true to its roots with the same soft and springy cushioning that changed sneaker history.","The stitched overlays on the upper add heritage style, durability and support.
Originally designed for performance hoops, the Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
The padded collar feels soft and comfortable.",Nike
Air Max 1,Men,5.0,12 795.00,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']",17.0,White/Photon Dust/Black/University Blue,FD9082-103,88.0,4.8," 
Meet the leader of the pack. Walking on clouds above the noise, the Air Max 1 blends timeless design with cushioned comfort. Sporting a fast-paced look, wavy mudguard and Nike Air, this classic icon hit the scene in '87 and continues to be the soul of the franchise today.

Benefits
Plush and comfortable, the Max Air cushioning has just the right amount of support.
The Waffle outsole with flex grooves provides traction that's flexible and durable.
Colour Shown: White/Photon Dust/Black/University Blue
Style: FD9082-103
Country/Region of Origin: China

Air Max 1
Sure, Air Max 1 started as a running shoe, but you can't keep innovation contained. Adopted by hip-hop culture, this runner with a controversial exposed Air unit could be found anywhere from the heart of Brooklyn to the streets of London. Its cutting-edge design and striking colourways, to this day, are celebrated year after year.","Plush and comfortable, the Max Air cushioning has just the right amount of support.
The Waffle outsole with flex grooves provides traction that's flexible and durable.
Colour Shown: White/Photon Dust/Black/University Blue
Style: FD9082-103
Country/Region of Origin: China",Nike
Air Max 90,Men,1.0,11 895.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,Anthracite/Black/Mystic Red/Summit White,FB9658-001,3.0,4.7," 
Lace up and feel the legacy in this champion running shoe that helped define the '90s. Worn by presidents, revolutionised through collabs and celebrated through rare colourways, its Waffle outsole, visible Nike Air cushioning and striking visuals keep it alive and well.

Benefits
The textile upper with leather and synthetic overlays adds texture and durability.
Originally designed for performance running, its foam midsole and Nike Air cushioning bring comfort that lasts.
Rubber Waffle outsole delivers durable traction and heritage style.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: Anthracite/Black/Mystic Red/Summit White
Style: FB9658-001
Country/Region of Origin: Vietnam

Air Max 90
The '90s were a turning point in culture—art, music, fashion and sneakers. The Air Max was at the forefront of the movement. With even more exposed Air cushioning and a bold new colour affectionately dubbed as ""Infrared"", its revolutionised design helped the first 90 take on a life of its own. No longer just a running shoe, it solidified Air Max as a streetwear cornerstone.","The textile upper with leather and synthetic overlays adds texture and durability.
Originally designed for performance running, its foam midsole and Nike Air cushioning bring comfort that lasts.
Rubber Waffle outsole delivers durable traction and heritage style.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: Anthracite/Black/Mystic Red/Summit White
Style: FB9658-001
Country/Region of Origin: Vietnam",Nike
Jordan Max Aura 5,Men,5.0,11 895.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']",15.0,White/Varsity Red/Wolf Grey/Black,DZ4353-101,22.0,," 
Whenyou need a shoe that's ready 24/7, it's gotta be the Max Aura 5. Inspired by the AJ3, this pair of kicks puts a modern spin on the classic. They're made from durable leather and textiles that sit atop a heel of Nike Air cushioning so you can walk, run or skate all day and still have fresh-feeling soles.

Benefits
Nike Air-Sole units provide lightweight cushioning.
Rubber outsole adds plenty of everyday traction.
Sturdy plastic around the heel adds support.

Product Details
Jumpman label on tongue
Eyelets reference the AJ3
Sturdy plastic on heel inspired by AJ3 mould
Colour Shown: White/Varsity Red/Wolf Grey/Black
Style: DZ4353-101
Country/Region of Origin: Vietnam","Nike Air-Sole units provide lightweight cushioning.
Rubber outsole adds plenty of everyday traction.
Sturdy plastic around the heel adds support.",Nike
Air Force 1 '07 Pro Tech,Men,3.0,13 995.00,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']",17.0,Light Silver/Clear/Light Silver,FB8875-002,8.0,4.6," 
The radiance lives on in the Air Force 1 '07 Pro-Tech—the basketball original that puts a fresh spin on what you know best. Monochromatic from top to bottom, this version uses waterproof materials so you can step out in style whatever the weather.

Benefits
The leather upper with stitched overlays ages to soft perfection.
Originally designed for performance hoops, Nike Air technology adds lightweight cushioning.
The padded, low-cut collar feels great and looks sleek.
Rubber sole gives you durable traction.

Product details
Foam midsole
Colour Shown: Light Silver/Clear/Light Silver
Style: FB8875-002
Country/Region of Origin: Vietnam

Air Force 1
Debuting in 1982 as a basketball must-have, the Air Force 1 came into its own in the '90s. The clean look of the classic white-on-white AF-1 was endorsed from the basketball courts to the street and beyond. Finding its rhythm in hip-hop culture, releasing limited collabs and colourways, Air Force 1 became an iconic sneaker around the globe. And with over 2,000 iterations of this staple, its impact on fashion, music and sneaker culture can't be denied.","The leather upper with stitched overlays ages to soft perfection.
Originally designed for performance hoops, Nike Air technology adds lightweight cushioning.
The padded, low-cut collar feels great and looks sleek.
Rubber sole gives you durable traction.",Nike
Air Trainer 1,Men,1.0,11 895.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,Light Silver/Black/Deep Royal Blue/Football Grey,FB8886-001,1.0,5.0," 
Where will you take your sneakers? Anywhere and everywhere? These essential shoes, just like the originals from '87, let you move across town without a glitch. With retro details you love like the forefoot strap and layered midsole, as well as a modern tricolour refresh, it keeps the legend alive and well.

Benefits
Originally designed for performance sports, Nike Air cushioning delivers lasting comfort.
Leather upper keeps it durable and adds a classic finish.
Forefoot strap lets you personalise your fit.
The mid-cut collar gives you a supportive feel.
Rubber outsole adds traction and durability.

Product details
Perforations on the toe
Foam midsole
Colour Shown: Light Silver/Black/Deep Royal Blue/Football Grey
Style: FB8886-001
Country/Region of Origin: Indonesia

Nike Air
The first of its kind, Nike Air technology absorbs impact for cushioning with every step. It's been built to help reduce the weight of the shoe without sacrificing performance, supporting both the athlete and the lifespan of the shoe.","Originally designed for performance sports, Nike Air cushioning delivers lasting comfort.
Leather upper keeps it durable and adds a classic finish.
Forefoot strap lets you personalise your fit.
The mid-cut collar gives you a supportive feel.
Rubber outsole adds traction and durability.",Nike
Air Force 1 '07,Men,1.0,8 195.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']",14.0,White/Black,CT2302-100,171.0,,"LEGENDARY STYLE.

The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colours and the perfect amount of flash to make you shine.

Benefits
Smoother than backboard glass and featuring a slight sheen, the stitched leather overlays add heritage style, durability and support.
Originally designed for performance hoops, Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
Padded, low-cut collar feels soft and comfortable.

Product Details
Foam midsole
Perforations on the toe
Colour Shown: White/Black
Style: CT2302-100
Country/Region of Origin: Vietnam

Air Force 1 Origins
Debuting in 1982, the AF-1 was the first basketball shoe to house Nike Air, revolutionising the game while rapidly gaining traction around the world. Today, the Air Force 1 stays true to its roots with the same soft and springy cushioning that changed sneaker history.","Smoother than backboard glass and featuring a slight sheen, the stitched leather overlays add heritage style, durability and support.
Originally designed for performance hoops, Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
Padded, low-cut collar feels soft and comfortable.",Nike
Dunk Low Retro Premium,Men,1.0,9 695.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,Deep Jungle/Light Silver/Deep Jungle/White,FB8896-300,1.0,5.0," 
Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic materials and throwback hoops flair. Channelling vintage style back onto the streets, its padded collar lets you take your game anywhere—in comfort.

Benefits
The textured leather upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Colour Shown: Deep Jungle/Light Silver/Deep Jungle/White
Style: FB8896-300
Country/Region of Origin: Vietnam

Nike Dunk
From backboards to skateboards, the influence of the Nike Dunk is undeniable. Although introduced as a basketball shoe in 1985, its flat and grippy soles were perfect for a neglected sport community—skaters. Uncovering a subculture craving creativity as much as function, the Dunk released decades of countless colourways that continue to capture the soul of skaters from coast to coast.","The textured leather upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Colour Shown: Deep Jungle/Light Silver/Deep Jungle/White
Style: FB8896-300
Country/Region of Origin: Vietnam",Nike
Blazer Low '77 Jumbo,Men,2.0,8 595.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,Sail/Gum Medium Brown/Pro Green,DR9865-101,10.0,," 
They say, ""Don't fix what works"". We say, ""Perfect it"". The streetwear superstar brings home the festive season with a cosy collar that pairs perfectly with your favourite seasonal jumper. And for a bold finish, the oversized Swoosh and jumbo laces add playful cheer.

Benefits
Stitched leather and soft suede accents add heritage hoops style.
Soft lining peeks over the collar for a wintertime finish.
Jumbo laces (so much easier to tie) and thick stitching thread add an exaggerated look to any outfit.
Rubber outsole with raised herringbone pattern adds traction and durability.

Product Details
Oversized Swoosh
Foam tongue
Colour Shown: Sail/Gum Medium Brown/Pro Green
Style: DR9865-101
Country/Region of Origin: Vietnam

Blazer Origins
Originally introduced in 1972 as a basketball shoe, the Blazer has since transformed into a modern staple for skaters and sneakerheads alike. Maturing from a simple canvas high top to a leather mid top and casual low top, this shoe just gets better with age.","Stitched leather and soft suede accents add heritage hoops style.
Soft lining peeks over the collar for a wintertime finish.
Jumbo laces (so much easier to tie) and thick stitching thread add an exaggerated look to any outfit.
Rubber outsole with raised herringbone pattern adds traction and durability.",Nike
Dunk Low,Men,1.0,8 695.00,"['7.5', '8', '9', '9.5', '10', '10.5', '11', '11.5', '12']",9.0,Sail/Coconut Milk/White/Deep Jungle,FQ8080-133,30.0,4.3," 
Created for the hardwood but taken to the streets, the basketball icon returns in aged neutrals that deliver heritage hoops flair. Channelling '80s vibes, its padded, low-cut collar lets you take your game anywhere—in comfort.

Benefits
Leather upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.

Product details
Suede Swoosh logo
Colour Shown: Sail/Coconut Milk/White/Deep Jungle
Style: FQ8080-133
Country/Region of Origin: Vietnam

Nike Dunk
From backboards to skateboards, the influence of the Nike Dunk is undeniable. Although introduced as a basketball shoe in 1985, its flat and grippy soles were perfect for a neglected sport community—skaters. Uncovering a subculture craving creativity as much as function, the Dunk released decades of countless colourways that continue to capture the soul of skaters from coast to coast.","Leather upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.",Nike
