Review,Size,Comfort,Features,star_rating
5.0,Not Loading,Regular fit Lace closure Suede upper Leather lining Rubber outsole Colour: Brown / Cloud White / Gum M2 Product code: IF5739,"CLASSIC SHOES DETAILED WITH A DECORATIVE STITCH.
Born on the football pitch, the adidas Samba shoes are a timeless icon of street style. Inspired by a rare 1970s training shoe, this edition is marked by a deco stitch on the toecap for an altered version of the classic Samba T-toe design, as well as a revision to the eye stay and heel mustache to evolve the look of the OG Samba. A suede upper and gum rubber outsole add another nod to retro flair.",4.4
,Not Loading,Lace and zip closure Frayed-edge canvas upper Canvas and suede lining Rubber outsole Y-3 logo Colour: Black / Black / Off White Product code: IF7789,"FRAYED, BASKETBALL-INSPIRED SHOES BY Y-3, WITH A WORN-IN EFFECT.
""Y-3 is a strong examination of the blend of sport and style and the tension caused by mixing tradition with all that is modern.""  — Yohji Yamamoto 

Y-3 builds on the legend of the famed adidas Nizza basketball shoes, using them as inspiration to create the experimental style and completely new look of the Nizza Boot. Exaggerated tooling creates a more sculpted shape for an elevated take on the timeless silhouette. The full canvas upper features frayed edges, purposefully designed to fray even more with wear. Combined with a hand-brushed toe cap and a long metal zip on the side, the result is an unapologetically rugged aesthetic.",
180.0,Not Loading,Lace closure Textile upper Breathable feel Lightweight running shoes EVA midsole and textile lining Rubber outsole and tech-inspired heel counter Colour: Tech Indigo / Legend Ink / Core Black Product code: FX3594,"LIGHTWEIGHT RUNNING SHOES FOR ALL-DAY COMFORT.
The adidas Coreracer Shoes strike a perfect balance of running support and streetwear style. They're lightweight and breathable, to keep feet wrapped in all-day comfort. The adidas Badge of Sport completes the performance look.",4.2
1725.0,Not Loading,"Regular fit Lace closure adidas PRIMEKNIT+ textile upper Textile lining Linear Energy Push system Light BOOST Weight: 299 g (size U.K. 8.5) Midsole drop: 10 mm (heel: 30 mm, forefoot: 20 mm) Continental™ Better Rubber outsole Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version Colour: Core Black / Grey Six / Cloud White Product code: HQ6339","EPIC ENERGY. LIGHTEST EVER.
BOOST turns 10! After a decade of energising runners around the world, we are stepping out with an even lighter shoe — the Ultraboost Light. Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date and boasts a 10% lower carbon footprint than previous models (for more information see FAQs below). To celebrate 10 years of BOOST, this special shoe goes back to the first ever BOOST colourway.",4.7
25.0,Not Loading,Regular fit Lace closure Monomesh upper with PRIMEKNIT collar around the ankle Forward-motion feel adidas 4D midsole Weight: 340 g (size UK 8.5) Midsole drop: 11.3 mm (heel: 24 mm / forefoot: 12.7 mm) Continental™ Rubber outsole Colour: Dash Grey S20 / Carbon / Lucid Lemon Product code: IG8980,"CODED FOR FORWARD MOTION, THESE RUNNING SHOES PROVIDE A SMOOTH RIDE.
Whether you're focused on your next stride or the finish line, running is all about moving forward. That's why the 4DFWD 3 running shoes are coded for forward motion. The innovative 3D-printed adidas 4D midsole with a new lattice structure transforms impact forces into forward motion and it is combined with the extraordinary traction of a Continental™ Rubber outsole. The upper is designed with a light, breathable monomesh featuring a PRIMEKNIT collar around the ankle to keep your feet comfortable kilometer after kilometer.",4.7
13.0,Not Loading,Regular fit Lace closure adidas PRIMEKNIT+FORGED textile upper Responsive energy-return feel Linear Energy Push system Light BOOST Weight: 296 g (size UK 8.5) Midsole drop: 10 mm (heel: 29.3 mm / forefoot: 19.3 mm) Continental™ Better Rubber outsole Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester Colour: Core Black / Core Black / Lucid Lime Product code: HP6443,"ULTRALIGHT EVERYDAY RUNNING SHOES MADE IN PART WITH PARLEY OCEAN PLASTIC.
The latest adidas running range fuses style with function to keep you looking and feeling good while you put in the kms. The high-performance pieces were designed to minimize distraction on high-energy runs, so you can focus on having fun while you stride.

Enjoy every step in these Ultraboost Light 23 running shoes. Our lightest Ultraboost ever, they're made with 30% lighter boost material 'cause heavy legs suck. Hundreds of boost capsules burst with epic energy every time your foot hits the tarmac. 

This product is made in part with Parley Ocean Plastic. Just one of the innovations that represent our commitment to help End Plastic Waste.",4.8
87.0,Not Loading,Regular fit Lace closure Synthetic upper Textile lining Heel counter Cloudfoam midsole Rubber outsole Upper contains a minimum of 50% recycled content Colour: Cloud White / Cloud White / Cloud White Product code: HP2602,"SLEEK SNEAKERS MADE IN PART WITH RECYCLED MATERIALS.
Anchor any outfit with these understated adidas sneakers. The smooth upper is lined for comfort. A cushioned Cloudfoam midsole combines with a supportive heel counter for a snug fit all the way around. A sturdy, yet flexible outsole completes the look.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",4.5
778.0,Not Loading,Regular fit Lace closure Textile upper OrthoLite® sockliner Cloudfoam midsole Textile lining Rubber outsole Upper contains a minimum of 50% recycled content Colour: Core Black / Core Black / Core Black Product code: GW4138,"A SPORTY, COMFY SHOE MADE IN PART WITH RECYCLED MATERIALS.
Lace up and go. These adidas running shoes will keep you comfortable, however late your day runs. A great everyday shoe, they have a light and airy mesh upper to keep your feet cool and a Cloudfoam midsole for springiness. The rubber outsole is designed to stay firm across all surfaces, from wet grass to slow clay. Switch up your plans without changing your shoes. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",4.6
5.0,Not Loading,Regular fit Lace closure Engineered mesh upper BOOST midsole Torsion System Rubber outsole Upper contains a minimum of 50% recycled content Colour: Crew Blue / Core Black / Grey One Product code: ID9580,"SHOES FOR DAILY EXPLORATION MADE IN PART WITH RECYCLED MATERIALS.
From coffee shop to daily commute to dance club, the adidas X_PLR Boost shoes supercharge your steps all day. That's because they ride on a responsive BOOST midsole. All the energy you give, you get back. A fresh take on familiar style, they feature a mesh upper wrapped in an iconic cage and finished with a distressed look.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",5.0
165.0,Not Loading,Lace closure adidas PRIMEKNIT textile upper BOOST midsole Textile lining Rubber outsole Colour: Pulse Amber / Bold Gold / Core Black Product code: HP3221,"Vibrant, expressive, animal-print adidas x Pharrell Williams trainers.
Made in collaboration with Pharrell Williams, the Hu NMD Animal Print pack features embroidered details that provide texture to the sock-like material. The product features a midfoot TPU cage for support and two pairs of reflective rope laces for style versatility.",4.5
,Not Loading,Lace closure Leather upper One-piece polyurethane outsole unit Colour: Black / Black / Cream White Product code: IF0750,"UNORTHODOX Y-3 TRAINERS WITH A SUBTLE NOD TO THE ADIDAS SUPERSTAR SHOES.
The Y-3 Kyasu Hi skews conventional design and focuses instead on minimalist expression. Without any glue or lining, the tooling is crafted with a one-piece polyurethane build, and the single-layer premium leather upper is stitched onto the irregular, concrete-like structure. The result is a completely raw interpretation of a shoe and an entirely new interpretation of an adidas icon.",
269.0,Not Loading,Regular fit Lace-up construction with bungee closure adidas PRIMEKNIT textile upper BOOST midsole Torsion System Rubber outsole Upper contains a minimum of 50% recycled content Colour: Halo Silver / Preloved Yellow / Royal Blue Product code: ID9638,"SUPER COMFORTABLE SNEAKERS MADE IN PART WITH RECYCLED MATERIALS.
Bright details draw the eye. Impressive tech does the rest. These Ultraboost shoes feature a practical bungee closure to get you out the door fast. The adaptive adidas PRIMEKNIT upper hugs the foot while the Torsion System provides lightweight stability through the arch. Energy-returning BOOST cushioning keeps you moving comfortably with every step. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",4.8
3.0,Not Loading,Regular fit Buckle closure adidas PRIMEKNIT upper BOOST midsole Textile lining Rubber outsole Upper contains a minimum of 50% recycled content Colour: Core Black / Carbon / Grey Six Product code: ID1747,"SUPER COMFORTABLE SNEAKERS MADE IN PART WITH RECYCLED MATERIALS.
For everyday sneakers with impeccable performance credentials, look no further. These Ultraboost shoes feature metal buckles instead of laces — a practical touch that's in line with the sleek, modern design. The adidas PRIMEKNIT upper fits snugly against your foot while energy-returning BOOST cushioning feels comfortable and supportive. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",4.0
8.0,Not Loading,Regular fit Lace closure Monomesh upper with PRIMEKNIT collar around the ankle Forward-motion feel adidas 4D midsole Weight: 291 g (size UK 5.5) Midsole drop: 11.3 mm (heel: 24 mm / forefoot: 12.7 mm) Continental™ Rubber outsole Contains a minimum of 20% recycled and renewable content Colour: Dash Grey S20 / Silver Violet / Lucid Lemon Product code: IG8993,"CODED FOR FORWARD MOTION, THESE RUNNING SHOES PROVIDE A SMOOTH RIDE.
Whether you're focused on your next stride or the finish line, running is all about moving forward. That's why the 4DFWD 3 running shoes are coded for forward motion. The innovative 3D-printed adidas 4D midsole with a new lattice structure transforms impact forces into forward motion and it is combined with the extraordinary traction of a Continental™ Rubber outsole. The upper is designed with a light, breathable monomesh featuring a PRIMEKNIT collar around the ankle to keep your feet comfortable kilometer after kilometer.",5.0
269.0,Not Loading,Regular fit Lace-up construction with bungee closure adidas PRIMEKNIT textile upper BOOST midsole Torsion System Rubber outsole Upper contains a minimum of 50% recycled content Colour: Core Black / Better Scarlet / Royal Blue Product code: ID9641,"SUPER COMFORTABLE SNEAKERS MADE IN PART WITH RECYCLED MATERIALS.
Bright details draw the eye. Impressive tech does the rest. These Ultraboost shoes feature a practical bungee closure to get you out the door fast. The adaptive adidas PRIMEKNIT upper hugs the foot while the Torsion System provides lightweight stability through the arch. Energy-returning BOOST cushioning keeps you moving comfortably with every step. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",4.8
