Shoename,Category,No.Of_colors,Price,Count_of_sizes,Name_ of_colors,Product_code,Review,Sizes,Comfort,Features,star_rating
Columbia Men Black TRAILSTORM PEAK MID,Men,2,"10,399",5,"Kettle, Black", BM5578-005,32,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
Columbia Men Brown TRAILSTORM PEAK MID,Men,2,"10,399",2,"Cordovan, Black", BM5578-231,31,"['UK-8', 'UK-10']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
Columbia Men Black COLUMBIA VENT AERO,Men,2,"8,099",4,"Black, Graphite", BM0159-010,30,"['UK-7', 'UK-8', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Men Blue COLUMBIA VENT AERO,Men,2,"7,199",5,"Collegiate Navy, Red Quartz", BM0159-468,36,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Men Black COLUMBIA VENT AERO,Men,2,"8,099",4,"Black, Graphite", BM0159-010,30,"['UK-7', 'UK-8', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Men Blue COLUMBIA VENT AERO,Men,2,"7,199",5,"Collegiate Navy, Red Quartz", BM0159-468,36,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Men Brown CRESTWOOD Water Resistant Shoes,Men,3,"8,099",5,"Oatmeal, Beach", BM5372-241,91,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Grey Crestwood Water Resistant Shoes,Men,3,"8,999",3,"Graphite, Dark Adobe", BM5372-053,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Brown Crestwood Water Resistant Shoes,Men,3,"8,999",5,"Mud, Squash", BM5372-255,47,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men BROWN Plateau Venture,Men,2,"7,999",5,"Mud, Abyss", BM7536-255,0,"['UK-7', 'UK-8', 'UK-9', 'UK-11', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Omni-SHIELD water and stain resistant treatment. Suede textile and overlays for outdoor protection and a moder",0
